Rxn name	Formula	Gene-reaction association	LB	UB	Objective
ALDD2x	acald[c] + h2o[c] + nad[c]  -> ac[c] + 2 h[c] + nadh[c] 	(b1300)	  0.00	1000.00	  0.00
ALLTAH	alltt[c] + h2o[c]  -> urdglyc[c] + urea[c] 	(b0516)	  0.00	1000.00	  0.00
ALLTN	alltn[c] + h2o[c]  -> alltt[c] + h[c] 	(b0512)	  0.00	1000.00	  0.00
ALLTNt2r	alltn[e] + h[e]  <=> alltn[c] + h[c] 	(b0511)	-1000.00	1000.00	  0.00
ALTRH	altrn[c]  -> 2ddglcn[c] + h2o[c] 	(b3091)	  0.00	1000.00	  0.00
AMALT1	malt[c] + malttr[c]  -> glc_DASH_D[c] + maltttr[c] 	(b3416)	  0.00	1000.00	  0.00
AMALT2	malt[c] + maltttr[c]  -> glc_DASH_D[c] + maltpt[c] 	(b3416)	  0.00	1000.00	  0.00
AMALT3	malt[c] + maltpt[c]  -> glc_DASH_D[c] + malthx[c] 	(b3416)	  0.00	1000.00	  0.00
AMALT4	malt[c] + malthx[c]  -> glc_DASH_D[c] + malthp[c] 	(b3416)	  0.00	1000.00	  0.00
AMANAPE	acmanap[c]  -> acgam6p[c] 	(b3223)	  0.00	1000.00	  0.00
AMANK	acmana[c] + atp[c]  -> acmanap[c] + adp[c] + h[c] 	(b3222)	  0.00	1000.00	  0.00
AMAOTr	8aonn[c] + amet[c]  <=> amob[c] + dann[c] 	(b0774)	-1000.00	1000.00	  0.00
AMMQT8_2	2dmmq8[c] + amet[c]  -> ahcys[c] + h[c] + mqn8[c] 	(b3929)	  0.00	1000.00	  0.00
AMPMS	air[c] + h2o[c]  -> 4ampm[c] + 2 for[c] + 4 h[c] 	(b3994)	  0.00	1000.00	  0.00
AMPN	amp[c] + h2o[c]  -> ade[c] + r5p[c] 	(b1982)	  0.00	1000.00	  0.00
ANPRT	anth[c] + prpp[c]  -> ppi[c] + pran[c] 	(b1263)	  0.00	1000.00	  0.00
ANS	chor[c] + gln_DASH_L[c]  -> anth[c] + glu_DASH_L[c] + h[c] + pyr[c] 	((b1264) and (b1263))	  0.00	1000.00	  0.00
AOXSr	ala_DASH_L[c] + h[c] + pmcoa[c]  <=> 8aonn[c] + co2[c] + coa[c] 	(b0776)	-1000.00	1000.00	  0.00
AP4AH	ap4a[c] + h2o[c]  -> 2 adp[c] + 2 h[c] 	(b0049)	  0.00	1000.00	  0.00
AP5AH	ap5a[c] + h2o[c]  -> adp[c] + atp[c] + 2 h[c] 	(b0049)	  0.00	1000.00	  0.00
APRAUR	5apru[c] + h[c] + nadph[c]  -> 5aprbu[c] + nadp[c] 	(b0414)	  0.00	1000.00	  0.00
ARAI	arab_DASH_L[c]  <=> rbl_DASH_L[c] 	(b0062)	-1000.00	1000.00	  0.00
ARBabc	arab_DASH_L[e] + atp[c] + h2o[c]  -> adp[c] + arab_DASH_L[c] + h[c] + pi[c] 	((b1900) and (b1898) and (b1899) and (b1901))	  0.00	1000.00	  0.00
ARBt2r	arab_DASH_L[e] + h[e]  <=> arab_DASH_L[c] + h[c] 	(b2841)	-1000.00	1000.00	  0.00
ARGDC	arg_DASH_L[c] + h[c]  -> agm[c] + co2[c] 	((b2938) or (b4117))	  0.00	1000.00	  0.00
ARGORNt7	arg_DASH_L[e] + orn[c]  <=> arg_DASH_L[c] + orn[e] 	(b1605)	-1000.00	1000.00	  0.00
ARGSL	argsuc[c]  <=> arg_DASH_L[c] + fum[c] 	(b3960)	-1000.00	1000.00	  0.00
ARGSS	asp_DASH_L[c] + atp[c] + citr_DASH_L[c]  -> amp[c] + argsuc[c] + h[c] + ppi[c] 	(b3172)	  0.00	1000.00	  0.00
ARGabc	arg_DASH_L[e] + atp[c] + h2o[c]  -> adp[c] + arg_DASH_L[c] + h[c] + pi[c] 	(((b2310) and (b2307) and (b2308) and (b2306)) or ((b0860) and (b0861) and (b0864) and (b0862)))	  0.00	1000.00	  0.00
ASAD	aspsa[c] + nadp[c] + pi[c]  <=> 4pasp[c] + h[c] + nadph[c] 	(b3433)	-1000.00	1000.00	  0.00
ASNN	asn_DASH_L[c] + h2o[c]  -> asp_DASH_L[c] + nh4[c] 	((b1767) or (b2957) or (b0828))	  0.00	1000.00	  0.00
ASNS1	asp_DASH_L[c] + atp[c] + gln_DASH_L[c] + h2o[c]  -> amp[c] + asn_DASH_L[c] + glu_DASH_L[c] + h[c] + ppi[c] 	(b0674)	  0.00	1000.00	  0.00
ASNS2	asp_DASH_L[c] + atp[c] + nh4[c]  -> amp[c] + asn_DASH_L[c] + h[c] + ppi[c] 	(b3744)	  0.00	1000.00	  0.00
ASNabc	asn_DASH_L[e] + atp[c] + h2o[c]  -> adp[c] + asn_DASH_L[c] + h[c] + pi[c] 		  0.00	1000.00	  0.00
ASNt2r	asn_DASH_L[e] + h[e]  <=> asn_DASH_L[c] + h[c] 		-1000.00	1000.00	  0.00
ASP1DC	asp_DASH_L[c] + h[c]  -> ala_DASH_B[c] + co2[c] 	(b0131)	  0.00	1000.00	  0.00
ASPCT	asp_DASH_L[c] + cbp[c]  -> cbasp[c] + h[c] + pi[c] 	((b4244) and (b4245))	  0.00	1000.00	  0.00
ASPK	asp_DASH_L[c] + atp[c]  <=> 4pasp[c] + adp[c] 	((b0002) or (b4024) or (b3940))	-1000.00	1000.00	  0.00
ASPO3	asp_DASH_L[c] + q8[c]  -> iasp[c] + q8h2[c] 	(b2574)	  0.00	1000.00	  0.00
ASPO4	asp_DASH_L[c] + mqn8[c]  -> iasp[c] + mql8[c] 	(b2574)	  0.00	1000.00	  0.00
ASPO5	asp_DASH_L[c] + fum[c]  -> iasp[c] + succ[c] 	(b2574)	  0.00	1000.00	  0.00
ASPO6	asp_DASH_L[c] + o2[c]  -> h2o2[c] + iasp[c] 	(b2574)	  0.00	1000.00	  0.00
ASPT	asp_DASH_L[c]  -> fum[c] + nh4[c] 	(b4139)	  0.00	1000.00	  0.00
ASPTA	akg[c] + asp_DASH_L[c]  <=> glu_DASH_L[c] + oaa[c] 	(b0928)	-1000.00	1000.00	  0.00
ASPabc	asp_DASH_L[e] + atp[c] + h2o[c]  -> adp[c] + asp_DASH_L[c] + h[c] + pi[c] 	((b0653) and (b0654) and (b0655) and (b0652))	  0.00	1000.00	  0.00
ASPt2	asp_DASH_L[e] + h[e]  -> asp_DASH_L[c] + h[c] 	(b4077)	  0.00	1000.00	  0.00
ASPt2_2	asp_DASH_L[e] + 2 h[e]  -> asp_DASH_L[c] + 2 h[c] 	(b3528)	  0.00	1000.00	  0.00
ASPt2_3	asp_DASH_L[e] + 3 h[e]  -> asp_DASH_L[c] + 3 h[c] 	((b4123) or (b4138))	  0.00	1000.00	  0.00
AST	arg_DASH_L[c] + succoa[c]  -> coa[c] + h[c] + sucarg[c] 	(b1747)	  0.00	1000.00	  0.00
ATPM	atp[c] + h2o[c]  -> adp[c] + h[c] + pi[c] 		  7.60	  7.60	  0.00
ATPPRT	atp[c] + prpp[c]  -> ppi[c] + prbatp[c] 	(b2019)	  0.00	1000.00	  0.00
ATPS4r	adp[c] + 4 h[e] + pi[c]  <=> atp[c] + h2o[c] + 3 h[c] 	((b3739) and (b3737) and (b3736) and (b3738) and (b3735) and (b3734) and (b3733) and (b3732) and (b3731))	-1000.00	1000.00	  0.00
BETALDHx	betald[c] + h2o[c] + nad[c]  -> glyb[c] + 2 h[c] + nadh[c] 	(b0312)	  0.00	1000.00	  0.00
BETALDHy	betald[c] + h2o[c] + nadp[c]  -> glyb[c] + 2 h[c] + nadph[c] 	(b0312)	  0.00	1000.00	  0.00
BPNT	h2o[c] + pap[c]  -> amp[c] + pi[c] 		  0.00	1000.00	  0.00
BSORx	btnso[c] + h[c] + nadh[c]  -> btn[c] + h2o[c] + nad[c] 	(b3551)	  0.00	1000.00	  0.00
BSORy	btnso[c] + h[c] + nadph[c]  -> btn[c] + h2o[c] + nadp[c] 	(b3551)	  0.00	1000.00	  0.00
BTS2	cys_DASH_L[c] + dtbt[c]  <=> ala_DASH_L[c] + btn[c] + 2 h[c] 	(b0775)	-1000.00	1000.00	  0.00
BUTCT	accoa[c] + but[c]  -> ac[c] + btcoa[c] 	((b2222) and (b2221))	  0.00	1000.00	  0.00
BUTt2r	but[e] + h[e]  <=> but[c] + h[c] 	(b2223)	-1000.00	1000.00	  0.00
BiomassEcoli	0.05 5mthf[c] + 5e-05 accoa[c] + 0.488 ala_DASH_L[c] + 0.001 amp[c] + 0.281 arg_DASH_L[c] + 0.229 asn_DASH_L[c] + 0.229 asp_DASH_L[c] + 45.7318 atp[c] + 0.000129 clpn_EC[c] + 6e-06 coa[c] + 0.126 ctp[c] + 0.087 cys_DASH_L[c] + 0.0247 datp[c] + 0.0254 dctp[c] + 0.0254 dgtp[c] + 0.0247 dttp[c] + 1e-05 fad[c] + 0.25 gln_DASH_L[c] + 0.25 glu_DASH_L[c] + 0.582 gly[c] + 0.154 glycogen[c] + 0.203 gtp[c] + 45.5608 h2o[c] + 0.09 his_DASH_L[c] + 0.276 ile_DASH_L[c] + 0.428 leu_DASH_L[c] + 0.0084 lps_EC[c] + 0.326 lys_DASH_L[c] + 0.146 met_DASH_L[c] + 0.00215 nad[c] + 5e-05 nadh[c] + 0.00013 nadp[c] + 0.0004 nadph[c] + 0.001935 pe_EC[c] + 0.0276 peptido_EC[c] + 0.000464 pg_EC[c] + 0.176 phe_DASH_L[c] + 0.21 pro_DASH_L[c] + 5.2e-05 ps_EC[c] + 0.035 ptrc[c] + 0.205 ser_DASH_L[c] + 0.007 spmd[c] + 3e-06 succoa[c] + 0.241 thr_DASH_L[c] + 0.054 trp_DASH_L[c] + 0.131 tyr_DASH_L[c] + 0.003 udpg[c] + 0.136 utp[c] + 0.402 val_DASH_L[c]  -> 45.5608 adp[c] + 45.5603 h[c] + 45.5628 pi[c] + 0.7302 ppi[c] 		  0.00	1000.00	  1.00
C120SN	actACP[c] + 14 h[c] + 4 malACP[c] + 10 nadph[c]  -> 4 ACP[c] + 4 co2[c] + ddcaACP[c] + 5 h2o[c] + 10 nadp[c] 	(((b0180) and (b1095) and (b1288) and (b1093)) or ((b2323) and (b0180) and (b1093) and (b1288)) or ((b2323) and (b0954) and (b1093) and (b1288)) or ((b0954) and (b1095) and (b1093) and (b1288)))	  0.00	1000.00	  0.00
C140SN	actACP[c] + 17 h[c] + 5 malACP[c] + 12 nadph[c]  -> 5 ACP[c] + 5 co2[c] + 6 h2o[c] + myrsACP[c] + 12 nadp[c] 	(((b0180) and (b2323) and (b1093) and (b1288)) or ((b2323) and (b0954) and (b1093) and (b1288)) or ((b0954) and (b1095) and (b1093) and (b1288)) or ((b0180) and (b1095) and (b1288) and (b1093)))	  0.00	1000.00	  0.00
C141SN	actACP[c] + 16 h[c] + 5 malACP[c] + 11 nadph[c]  -> 5 ACP[c] + 5 co2[c] + 6 h2o[c] + 11 nadp[c] + tdeACP[c] 	((b2323) and (b0180) and (b0954) and (b1288) and (b1093))	  0.00	1000.00	  0.00
C160SN	actACP[c] + 20 h[c] + 6 malACP[c] + 14 nadph[c]  -> 6 ACP[c] + 6 co2[c] + 7 h2o[c] + 14 nadp[c] + palmACP[c] 	(((b0180) and (b1095) and (b1288) and (b1093)) or ((b2323) and (b0180) and (b1288) and (b1093)) or ((b2323) and (b0954) and (b1288) and (b1093)) or ((b0954) and (b1095) and (b1288) and (b1093)))	  0.00	1000.00	  0.00
C161SN	actACP[c] + 19 h[c] + 6 malACP[c] + 13 nadph[c]  -> 6 ACP[c] + 6 co2[c] + 7 h2o[c] + hdeACP[c] + 13 nadp[c] 	((b2323) and (b0180) and (b0954) and (b1093) and (b1288))	  0.00	1000.00	  0.00
C181SN	actACP[c] + 22 h[c] + 7 malACP[c] + 15 nadph[c]  -> 7 ACP[c] + 7 co2[c] + 8 h2o[c] + 15 nadp[c] + octeACP[c] 	((b2323) and (b0180) and (b0954) and (b1095) and (b1093) and (b1288))	  0.00	1000.00	  0.00
CADVt	15dap[c] + h[e] + lys_DASH_L[e]  -> 15dap[e] + h[c] + lys_DASH_L[c] 	(b4132)	  0.00	1000.00	  0.00
CAT	2 h2o2[c]  -> 2 h2o[c] + o2[c] 	((b1732) or (b3942))	  0.00	1000.00	  0.00
CBIAT_DELETE	atp[c] + cbi[c] + h2o[c]  <=> adocbi[c] + pi[c] + ppi[c] 	(b1270)	-1000.00	1000.00	  0.00
CBL1abc	atp[c] + cbl1[e] + h2o[c]  -> adp[c] + cbl1[c] + h[c] + pi[c] 	((b1709) and (b0158) and (b3966) and (b1711))	  0.00	1000.00	  0.00
CBLAT_DELETE	atp[c] + cbl1[c] + h2o[c]  <=> adocbl[c] + pi[c] + ppi[c] 	(b1270)	-1000.00	1000.00	  0.00
